儿[兒]	er2	1A0AENG ◼ son, child ◼ oneself ◼ small thing ◼ diminutive suffix [r]GER ◼ SohnRAD ◼ KangXi 10: son, legsINFORMATION1A0PVARIANTS: 兒DISTINGUISH FROM: 八 [bā] · 儿 [rén]CHARACTER1A0PSTROKES: (2)񃀮 񃀯COMPONENTS: ◼ 臼 [xìn]: empty: corruption of 囟◼ 儿 [rén]: form: a person's body (人)MNEMONICS: ◼ two legs of a person; child with up-raised hands wanting to be picked upORIGINS: 儿 depicts the side view of a person standing. It has two different meanings stemming from different origins (兒 [ér] and 人 [rén]). The traditional form 兒 is composed of 臼, a corruption of 囟, and 儿. The sinplified character is also 儿, which is a modern stand-alone. When used as component, 儿 changes its meaning due to being a variant of 人 [rén].ANCIENT FORM: AA10񁤸OCCURRENCES1A0PRELATIVES: 兄 [xiōng] · 先 [xiān] A0PAA00https://zi.tools/zi/儿
二	er4	1A0AENG ◼ two ◼ 2GER ◼ zweiRAD ◼ KangXi 7: twoINFORMATION1A0PVARIANTS: 弍 (financial)DICTIONARY ENTRIES: 一二三四五六七八九十CHARACTER1A0PSTROKES: (2)񄳶񄳸COMPONENTS: ◼ 一 [yī]: formMNEMONICS: ◼ two thingsMEANING AS COMPONENT: ◼ twoORIGINS: 二 depicts the original meaning "two" via two single horizontal lines, similar to 一 [yī].ANCIENT FORM: AA10񄳴 A0PAA00https://zi.tools/zi/二
非	fei1	1A0AENG ◼ not be, not ◼ wrong, incorrect ◼ non-, un-, in-, de- (prefix) ◼ reproach, blame ◼ insist on, simply must ◼ short for Africa (abbr.)GER ◼ non-, nicht- (Präfix) ◼ AfrikaRAD ◼ KangXi 175: wrongOPP ◼ 是 [shì]INFORMATION1A0PDISTINGUISH FROM: 北 [běi]DICTIONARY ENTRIES: 非…不…CHARACTER1A0PSTROKES: (8)񅅂 񅅃 񅅄 񅅅 񅅆 񅅇 񅅈 񅅉MNEMONICS: ◼ mirror image that shows opposite forms; knuckles pressed together, ready to oppose everyone in their wayMEANING AS COMPONENT: ◼ againstORIGINS: 非 depicts two people with their backs to each other. The original meaning is to go against or oppose.ANCIENT FORM: AA10񅅀 A0PAA00https://zi.tools/zi/非
阜	fu4	1A0AENG ◼ mound ◼ abundantGER ◼ reichlich ◼ ErdhügelRAD ◼ KangXi 170: moundINFORMATION1A0PVARIANTS: 阝(component-only left-side)CHARACTER1A0PMNEMONICS: ◼ Represents steps coming down from a city, or possiby a wallMEANING AS COMPONENT: ◼ not really usedORIGINS: 阜 is an abbreviation of 𨸏, which is a depiction of hills, indicating the original meaning of a hill. The component form 阝 only appears on the left side of a character.ANCIENT FORM: AA10񄮺 A0PAA00https://zi.tools/zi/阜
干	gan1	1A0AENG ◼ offend, affront, oppose ◼ obstruct, interfere ◼ concern, involved ◼ sheild (archaic)GER ◼ SchildRAD ◼ KangXi 51: shield, dryINFORMATION1A0PDISTINGUISH FROM: 干/幹 [gàn] · 干/乾 [gān]CHARACTER1A0PSTROKES: (3)񳤹 񳤺 񳤻MNEMONICS: ◼ sheildMEANING AS COMPONENT: ◼ (military/hunting) tool ◼ poleORIGINS: 干 depicts and originally means a kind of instrument used for hunting or for military purposes. 干 is also used to abbreviate the characters 乾 [gān] and 幹 [gàn] in Simplified Chinese.ANCIENT FORM: AA10񳤷 A0PAA00https://zi.tools/zi/干
干[乾]	gan1	1A0AENG ◼ dry, dried up ◼ clean, empty, hollow ◼ futile, in vainGER ◼ trockenRAD ◼ KangXi 51: shield, dryOPP ◼ 湿 [shī]INFORMATION1A0PVARIANTS: 乹 (old)DISTINGUISH FROM: 干 [gān] · 干/幹 [gàn]CHARACTER1A0PSTROKES: (3)񳤹 񳤺 񳤻COMPONENTS: ◼ 倝 [gàn]: sound◼ 乙 [yǐ]: empty: distinguishing markMNEMONICS: ◼ at dawn 倝, when the sun comus up, things begin to dry 乙ORIGINS: The whole character of 乾 is used for its sound to express the original meaning dry (opposite of wet). 干 is also  used to abbreviate 幹 in simplified Chinese, which leads to a different meaning. A0PAA00https://zi.tools/zi/干https://zi.tools/zi/乾https://zi.tools/zi/乹
干[幹]	gan4	1A0AENG ◼ do, work, manage ◼ (tree) trunk, stem, main part ◼ capable, able, talented ◼ annoyedRAD ◼ KangXi 51: shield, dryINFORMATION1A0PVARIANTS: 榦 (archaic)DISTINGUISH FROM: 干 [gān] · 干/乾 [gān]CHARACTER1A0PSTROKES: (3)񃲒 񃲓 񃲔COMPONENTS: ◼ 倝 [gàn]: sound◼ 木 [mù]: meaning: tree, wood◼ 干 [gān]: soundMNEMONICS: ◼ farmer 人 holding his tool 干, watching the sun 曰 rise 倝 behind a tree trunk 幹ORIGINS: 幹 was originally composed of 倝 [gàn] and 木 [mù], meaning "an upright post used when building walls". Later, 木 was corrupted via phoneticization into 干 [gān]. Now, both 倝 and 干 give the sound. 干 is also used in simplified Chinese to abbreviate 乾 [gān].OCCURRENCES1A0PWORDS: 干什么 [gànshénme] A0PAA00https://zi.tools/zi/干https://zi.tools/zi/幹https://zi.tools/zi/榦
高	gao1	1A0AENG ◼ high, tall ◼ above average, high level, advanced ◼ expensive, costly ◼ loud, high-pitched ◼ your (honorific)GER ◼ groß, hochRAD ◼ KangXi 189: tallOPP ◼ 低 [dī]INFORMATION1A0PVARIANTS: 髙 (archaic)CHARACTER1A0PSTROKES: (10)񵍹 񵍺 񵍻 񵍼 񵍽 񵍾 񵍿 񵎀 񵎁 񵎂MNEMONICS: ◼ house on a hill; a high buildingMEANING AS COMPONENT: ◼ mostly sound component ◼ high, tallORIGINS: 高 depicts a tall building, hence the original meaning of tall or lofty.ANCIENT FORM: AA10񵍷 A0PAA00https://zi.tools/zi/高
广[廣]	guang3	1A0AENG ◼ wide, broad,vast ◼ numerous ◼ extensiveGER ◼ breit, umfangreich, weitRAD ◼ KangXi 53: dotted cliff, house on a cliffINFORMATION1A0PDISTINGUISH FROM: 广 [yǎn]CHARACTER1A0PSTROKES: (3)񱳑 񱳒 񱳓COMPONENTS: ◼ 广 [yǎn]: meaning: simple building◼ 黃 [huáng]: soundMNEMONICS: ◼ house on a hill with a wide / broad view of numerous thingsORIGINS: 廣 shows a large hall with a roof, but no walls. The radical 广 [yǎn] hints towards it being a simple building with missing walls. In simlified Chinese, 广 [guǎng], which is identical to the radical, replaces 廣 by omitting 黃.
丨	gun3	1A0ARAD ◼ KangXi 2: line ◼ 竖笔 [shùbǐ]INFORMATION1A0PDISTINGUISH FROM: 亅[jué]CHARACTER1A0PSTROKES: (1)丨ORIGINS: It looks like the suzhou numeral one
